data,nome_integratore,quantita
2025-01-01,Rhodiola Rosea,1
2025-01-01,CoQ10,1
2025-01-01,Two-Per-Day,2
2025-01-01,Omega-3,2
2025-01-01,Magnesio Citrate,2
2025-01-01,Black Maca,1
2025-01-01,L-Carnitina,3
2025-01-02,Two-Per-Day,2
2025-01-02,Omega-3,1
2025-01-02,Magnesio Citrate,2
2025-01-02,Black Maca,1
2025-01-02,L-Carnitina,3
2025-01-03,Rhodiola Rosea,1
2025-01-03,CoQ10,1
2025-01-03,Two-Per-Day,2
2025-01-03,Omega-3,2
2025-01-03,Magnesio Citrate,2
2025-01-03,Black Maca,1
2025-01-03,L-Carnitina,3
2025-01-04,Two-Per-Day,2
2025-01-04,Omega-3,1
2025-01-04,Magnesio Citrate,2
2025-01-04,Black Maca,1
2025-01-04,L-Carnitina,3
2025-01-05,Rhodiola Rosea,1
2025-01-05,CoQ10,1
2025-01-05,Two-Per-Day,2
2025-01-05,Omega-3,2
2025-01-05,Magnesio Citrate,2
2025-01-05,Black Maca,1
2025-01-05,L-Carnitina,3
2025-01-06,Rhodiola Rosea,1
2025-01-06,CoQ10,1
2025-01-06,Two-Per-Day,2
2025-01-06,Omega-3,2
2025-01-06,Magnesio Citrate,2
2025-01-06,Black Maca,1
2025-01-06,L-Carnitina,3
2025-01-07,Rhodiola Rosea,1
2025-01-07,CoQ10,1
2025-01-07,Two-Per-Day,2
2025-01-07,Omega-3,1
2025-01-07,Magnesio Citrate,2
2025-01-07,Black Maca,1
2025-01-07,L-Carnitina,3
2025-01-08,Rhodiola Rosea,1
2025-01-08,CoQ10,1
2025-01-08,Two-Per-Day,2
2025-01-08,Omega-3,2
2025-01-08,Magnesio Citrate,2
2025-01-08,Black Maca,1
2025-01-08,L-Carnitina,3
2025-01-09,Two-Per-Day,2
2025-01-09,Omega-3,1
2025-01-09,Magnesio Citrate,2
2025-01-09,Black Maca,1
2025-01-09,L-Carnitina,3
2025-01-10,Rhodiola Rosea,1
2025-01-10,CoQ10,1
2025-01-10,Two-Per-Day,2
2025-01-10,Omega-3,2
2025-01-10,Magnesio Citrate,2
2025-01-10,Black Maca,1
2025-01-10,L-Carnitina,3
2025-01-11,Two-Per-Day,2
2025-01-11,Omega-3,1
2025-01-11,Magnesio Citrate,2
2025-01-11,Black Maca,1
2025-01-11,L-Carnitina,3
2025-01-12,Rhodiola Rosea,1
2025-01-12,CoQ10,1
2025-01-12,Two-Per-Day,2
2025-01-12,Omega-3,2
2025-01-12,Magnesio Citrate,2
2025-01-12,Black Maca,1
2025-01-12,L-Carnitina,3
2025-01-13,Rhodiola Rosea,1
2025-01-13,CoQ10,1
2025-01-13,Two-Per-Day,2
2025-01-13,Omega-3,2
2025-01-13,Magnesio Citrate,2
2025-01-13,Black Maca,1
2025-01-13,L-Carnitina,3
2025-01-14,Rhodiola Rosea,1
2025-01-14,CoQ10,1
2025-01-14,Two-Per-Day,2
2025-01-14,Omega-3,1
2025-01-14,Magnesio Citrate,2
2025-01-14,Black Maca,1
2025-01-14,L-Carnitina,3
2025-01-15,Rhodiola Rosea,1
2025-01-15,CoQ10,1
2025-01-15,Two-Per-Day,2
2025-01-15,Omega-3,2
2025-01-15,Magnesio Citrate,2
2025-01-15,Black Maca,1
2025-01-15,L-Carnitina,3
2025-01-16,Two-Per-Day,2
2025-01-16,Omega-3,1
2025-01-16,Magnesio Citrate,2
2025-01-16,Black Maca,1
2025-01-16,L-Carnitina,3
2025-01-17,Rhodiola Rosea,1
2025-01-17,CoQ10,1
2025-01-17,Two-Per-Day,2
2025-01-17,Omega-3,2
2025-01-17,Magnesio Citrate,2
2025-01-17,Black Maca,1
2025-01-17,L-Carnitina,3
2025-01-18,Two-Per-Day,2
2025-01-18,Omega-3,1
2025-01-18,Magnesio Citrate,2
2025-01-18,Black Maca,1
2025-01-18,L-Carnitina,3
2025-01-19,Rhodiola Rosea,1
2025-01-19,CoQ10,1
2025-01-19,Two-Per-Day,2
2025-01-19,Omega-3,2
2025-01-19,Magnesio Citrate,2
2025-01-19,Black Maca,1
2025-01-19,L-Carnitina,3
2025-01-20,Rhodiola Rosea,1
2025-01-20,CoQ10,1
2025-01-20,Two-Per-Day,2
2025-01-20,Omega-3,2
2025-01-20,Magnesio Citrate,2
2025-01-20,Black Maca,1
2025-01-20,L-Carnitina,3
2025-01-21,Rhodiola Rosea,1
2025-01-21,CoQ10,1
2025-01-21,Two-Per-Day,2
2025-01-21,Omega-3,1
2025-01-21,Magnesio Citrate,2
2025-01-21,Black Maca,1
2025-01-21,L-Carnitina,3
2025-01-22,Rhodiola Rosea,1
2025-01-22,CoQ10,1
2025-01-22,Two-Per-Day,2
2025-01-22,Omega-3,2
2025-01-22,Magnesio Citrate,2
2025-01-22,Black Maca,1
2025-01-22,L-Carnitina,3
2025-01-23,Two-Per-Day,2
2025-01-23,Omega-3,1
2025-01-23,Magnesio Citrate,2
2025-01-23,Black Maca,1
2025-01-23,L-Carnitina,3
2025-01-24,Rhodiola Rosea,1
2025-01-24,CoQ10,1
2025-01-24,Two-Per-Day,2
2025-01-24,Omega-3,2
2025-01-24,Magnesio Citrate,2
2025-01-24,Black Maca,1
2025-01-24,L-Carnitina,3
2025-01-25,Two-Per-Day,2
2025-01-25,Omega-3,1
2025-01-25,Magnesio Citrate,2
2025-01-25,Black Maca,1
2025-01-25,L-Carnitina,3
2025-01-26,Rhodiola Rosea,1
2025-01-26,CoQ10,1
2025-01-26,Two-Per-Day,2
2025-01-26,Omega-3,2
2025-01-26,Magnesio Citrate,2
2025-01-26,Black Maca,1
2025-01-26,L-Carnitina,3
2025-01-27,Rhodiola Rosea,1
2025-01-27,CoQ10,1
2025-01-27,Two-Per-Day,2
2025-01-27,Omega-3,2
2025-01-27,Magnesio Citrate,2
2025-01-27,Black Maca,1
2025-01-27,L-Carnitina,3
2025-01-28,Rhodiola Rosea,1
2025-01-28,CoQ10,1
2025-01-28,Two-Per-Day,2
2025-01-28,Omega-3,1
2025-01-28,Magnesio Citrate,2
2025-01-28,Black Maca,1
2025-01-28,L-Carnitina,3
2025-01-29,Rhodiola Rosea,1
2025-01-29,CoQ10,1
2025-01-29,Two-Per-Day,2
2025-01-29,Omega-3,2
2025-01-29,Magnesio Citrate,2
2025-01-29,Black Maca,1
2025-01-29,L-Carnitina,3
2025-01-30,Two-Per-Day,2
2025-01-30,Omega-3,1
2025-01-30,Magnesio Citrate,2
2025-01-30,Black Maca,1
2025-01-30,L-Carnitina,3
2025-01-31,Rhodiola Rosea,1
2025-01-31,CoQ10,1
2025-01-31,Two-Per-Day,2
2025-01-31,Omega-3,2
2025-01-31,Magnesio Citrate,2
2025-01-31,Black Maca,1
2025-01-31,L-Carnitina,3
2025-02-01,Two-Per-Day,2
2025-02-01,Omega-3,1
2025-02-01,Magnesio Citrate,2
2025-02-01,Black Maca,1
2025-02-01,L-Carnitina,3
2025-02-02,Rhodiola Rosea,1
2025-02-02,CoQ10,1
2025-02-02,Two-Per-Day,2
2025-02-02,Omega-3,2
2025-02-02,Magnesio Citrate,2
2025-02-02,Black Maca,1
2025-02-02,L-Carnitina,3
2025-02-03,Rhodiola Rosea,1
2025-02-03,CoQ10,1
2025-02-03,Two-Per-Day,2
2025-02-03,Omega-3,2
2025-02-03,Magnesio Citrate,2
2025-02-03,Black Maca,1
2025-02-03,L-Carnitina,3
2025-02-04,Rhodiola Rosea,1
2025-02-04,CoQ10,1
2025-02-04,Two-Per-Day,2
2025-02-04,Omega-3,1
2025-02-04,Magnesio Citrate,2
2025-02-04,Black Maca,1
2025-02-04,L-Carnitina,3
2025-02-05,Rhodiola Rosea,1
2025-02-05,CoQ10,1
2025-02-05,Two-Per-Day,2
2025-02-05,Omega-3,2
2025-02-05,Magnesio Citrate,2
2025-02-05,Black Maca,1
2025-02-05,L-Carnitina,3
2025-02-06,Two-Per-Day,2
2025-02-06,Omega-3,1
2025-02-06,Magnesio Citrate,2
2025-02-06,Black Maca,1
2025-02-06,L-Carnitina,3
2025-02-07,Rhodiola Rosea,1
2025-02-07,CoQ10,1
2025-02-07,Two-Per-Day,2
2025-02-07,Omega-3,2
2025-02-07,Magnesio Citrate,2
2025-02-07,Black Maca,1
2025-02-07,L-Carnitina,3
2025-02-08,Two-Per-Day,2
2025-02-08,Omega-3,1
2025-02-08,Magnesio Citrate,2
2025-02-08,Black Maca,1
2025-02-08,L-Carnitina,3
2025-02-09,Rhodiola Rosea,1
2025-02-09,CoQ10,1
2025-02-09,Two-Per-Day,2
2025-02-09,Omega-3,2
2025-02-09,Magnesio Citrate,2
2025-02-09,Black Maca,1
2025-02-09,L-Carnitina,3
2025-02-10,Rhodiola Rosea,1
2025-02-10,CoQ10,1
2025-02-10,Two-Per-Day,2
2025-02-10,Omega-3,2
2025-02-10,Magnesio Citrate,2
2025-02-10,Black Maca,1
2025-02-10,L-Carnitina,3
2025-02-11,Rhodiola Rosea,1
2025-02-11,CoQ10,1
2025-02-11,Two-Per-Day,2
2025-02-11,Omega-3,1
2025-02-11,Magnesio Citrate,2
2025-02-11,Black Maca,1
2025-02-11,L-Carnitina,3
2025-02-12,Rhodiola Rosea,1
2025-02-12,CoQ10,1
2025-02-12,Two-Per-Day,2
2025-02-12,Omega-3,2
2025-02-12,Magnesio Citrate,2
2025-02-12,Black Maca,1
2025-02-12,L-Carnitina,3
2025-02-13,Two-Per-Day,2
2025-02-13,Omega-3,1
2025-02-13,Magnesio Citrate,2
2025-02-13,Black Maca,1
2025-02-13,L-Carnitina,3
2025-02-14,Rhodiola Rosea,1
2025-02-14,CoQ10,1
2025-02-14,Two-Per-Day,2
2025-02-14,Omega-3,2
2025-02-14,Magnesio Citrate,2
2025-02-14,Black Maca,1
2025-02-14,L-Carnitina,3
2025-02-15,Two-Per-Day,2
2025-02-15,Omega-3,1
2025-02-15,Magnesio Citrate,2
2025-02-15,Black Maca,1
2025-02-15,L-Carnitina,3
2025-02-16,Rhodiola Rosea,1
2025-02-16,CoQ10,1
2025-02-16,Two-Per-Day,2
2025-02-16,Omega-3,2
2025-02-16,Magnesio Citrate,2
2025-02-16,Black Maca,1
2025-02-16,L-Carnitina,3
2025-02-17,Rhodiola Rosea,1
2025-02-17,CoQ10,1
2025-02-17,Two-Per-Day,2
2025-02-17,Omega-3,2
2025-02-17,Magnesio Citrate,2
2025-02-17,Black Maca,1
2025-02-17,L-Carnitina,3
2025-02-18,Rhodiola Rosea,1
2025-02-18,CoQ10,1
2025-02-18,Two-Per-Day,2
2025-02-18,Omega-3,1
2025-02-18,Magnesio Citrate,2
2025-02-18,Black Maca,1
2025-02-18,L-Carnitina,3
2025-02-19,Rhodiola Rosea,1
2025-02-19,CoQ10,1
2025-02-19,Two-Per-Day,2
2025-02-19,Omega-3,2
2025-02-19,Magnesio Citrate,2
2025-02-19,Black Maca,1
2025-02-19,L-Carnitina,3
2025-02-20,Two-Per-Day,2
2025-02-20,Omega-3,1
2025-02-20,Magnesio Citrate,2
2025-02-20,Black Maca,1
2025-02-20,L-Carnitina,3
