Nome Integratore,Marca,Dose Giornaliera,Nutriente,Quantità per dose
Two-Per-Day,Life Extension,2 capsule,Vitamina A,1500 mcg
Two-Per-Day,Life Extension,2 capsule,Vitamina C,470 mg
Two-Per-Day,Life Extension,2 capsule,Vitamina D3,50 mcg
Two-Per-Day,Life Extension,2 capsule,Vitamina E,67 mg
Two-Per-Day,Life Extension,2 capsule,Vitamina K,105 mcg
Two-Per-Day,Life Extension,2 capsule,Vitamina B1,75 mg
Two-Per-Day,Life Extension,2 capsule,Vitamina B2,50 mg
Two-Per-Day,Life Extension,2 capsule,Vitamina B3,190 mg
Two-Per-Day,Life Extension,2 capsule,Vitamina B6,100 mg
Two-Per-Day,Life Extension,2 capsule,Vitamina B9,400 mcg
Two-Per-Day,Life Extension,2 capsule,Vitamina B12,600 mcg
Two-Per-Day,Life Extension,2 capsule,Vitamina B8,300 mcg
Two-Per-Day,Life Extension,2 capsule,Magnesio,125 mg
Two-Per-Day,Life Extension,2 capsule,Zinco,35 mg
Two-Per-Day,Life Extension,2 capsule,Selenio,200 mcg
Two-Per-Day,Life Extension,2 capsule,Manganese,2 mg
Two-Per-Day,Life Extension,2 capsule,Cromo,200 mcg
Two-Per-Day,Life Extension,2 capsule,Rame,2 mg
Two-Per-Day,Life Extension,2 capsule,Boro,3 mg
Two-Per-Day,Life Extension,2 capsule,Iodio,150 mcg
Black Maca,WeightWorld,1 capsula,Zinco,5 mg
Black Maca,WeightWorld,1 capsula,Maca Nera,5550 mg
Magnesio Citrato,WeightWorld,2 capsule,Magnesio,440 mg
Omega-3 Tripla Azione,Viti,1 capsula,EPA,150 mg
Omega-3 Tripla Azione,Viti,1 capsula,DHA,100 mg
CoQ10,WeightWorld,1 capsula,Coenzima Q10,200 mg
Rhodiola Rosea,Ambervit,1 capsula,Salidrosidi,15 mg
Rhodiola Rosea,Ambervit,1 capsula,Rhodiola Rosea,500 mg
L-Carnitina,WeightWorld,3 capsule,Carnitina,2000 mg
