Nutriente,Simbolo,Unità,Categoria,Priorità_generica,Priorità_stile,Priorità_obiettivo
Carboidrati,CHO,g,MACRO,,,
Grassi,FAT,g,MACRO,,,
Proteine,PROT,g,MACRO,,,
Acido folico,B9,mcg,MICRO,,,
Biotina,Bio,mcg,MICRO,,,
Boro,B,mg,MICRO,,,
Calcio,CA,,MICRO,,,
Calorie,KCAL,,MACRO,,,
Cloro,CL,,MICRO,,,
Coenzima q10,Coe,mg,MICRO,,,
Cromo,Cr,mcg,MICRO,,,
Dha,Dha,mg,MICRO,,,
Epa,Epa,mg,MICRO,,,
Etanolo,ET,,MICRO,,,
Ferro,FE,,MICRO,,,
Fluoro,F,mg,MICRO,,,
Fosforo,P,,MICRO,,,
Iodio,I,,MICRO,,,
L-carnitina,L-c,mg,MICRO,,,
Magnesio,MG,,MICRO,,,
Manganese,Mn,mg,MICRO,,,
Molibdeno,Mo,µg,MICRO,,,
Potassio,K+,,MICRO,,,
Rame,CU,,MICRO,,,
Rhodiola rosea estratto,Rho,mg,MICRO,,,
Salidrosidi,Sal,mg,MICRO,,,
Selenio,SE,,MICRO,,,
Sodio,Na,,MICRO,,,
Vitamina A,A,,MICRO,,,
Vitamina B1,B1,,MICRO,,,
Vitamina B12,B12,,MICRO,,,
Vitamina B2,B2,,MICRO,,,
Vitamina B3,B3,,MICRO,,,
Vitamina B5,B5,,MICRO,,,
Vitamina B6,B6,,MICRO,,,
Vitamina B7,B7,,MICRO,,,
Vitamina B9,B9,,MICRO,,,
Vitamina C,vC,,MICRO,,,
Vitamina D,vD,,MICRO,,,
Vitamina D3,D3,mcg,MICRO,,,
Vitamina E,E,,MICRO,,,
Vitamina K,K,,MICRO,,,
Vitamina K1,K1,mcg,MICRO,,,
Zinco,ZN,,MICRO,,,
Alcool,ALC,g,SENS,,,
Caffeina,CAFF,,SENS,,,
Carnitina,CRN,mg,SENS,,,
Colesterolo,COL,mg,SENS,,,
Fibre,FIB,,SENS,,,
Maca nera,Mac,mg,SENS,,,
Zuccheri,SUGAR,,SENS,,,
